listing_id,id_customer,last_action_time,last_action,action_detail
18709566,cfd6f72ced4de3ed18c731ff71b73375bb74c9656b11c22cf6a394098e1ed1a9,2021-08-31 22:24:35.821000,select field,colore
18709566,cfd6f72ced4de3ed18c731ff71b73375bb74c9656b11c22cf6a394098e1ed1a9,2021-08-31 22:24:32.106000,select field,materiale
18709566,cfd6f72ced4de3ed18c731ff71b73375bb74c9656b11c22cf6a394098e1ed1a9,2021-08-31 22:24:27.546000,select field,sotto-categoria
18709566,cfd6f72ced4de3ed18c731ff71b73375bb74c9656b11c22cf6a394098e1ed1a9,2021-08-31 22:24:26.478000,start information,
18709566,cfd6f72ced4de3ed18c731ff71b73375bb74c9656b11c22cf6a394098e1ed1a9,2021-08-31 22:24:26.275000,select step,informations
18709566,cfd6f72ced4de3ed18c731ff71b73375bb74c9656b11c22cf6a394098e1ed1a9,2021-08-31 22:24:24.829000,create draft,borsa per uomini
18709566,cfd6f72ced4de3ed18c731ff71b73375bb74c9656b11c22cf6a394098e1ed1a9,2021-08-31 22:24:22.185000,select brand from results,timberland
18709566,cfd6f72ced4de3ed18c731ff71b73375bb74c9656b11c22cf6a394098e1ed1a9,2021-08-31 22:24:22.061000,type in search field,timberland
18709566,cfd6f72ced4de3ed18c731ff71b73375bb74c9656b11c22cf6a394098e1ed1a9,2021-08-31 22:24:18.219000,tap search field,
18709566,cfd6f72ced4de3ed18c731ff71b73375bb74c9656b11c22cf6a394098e1ed1a9,2021-08-31 22:24:14.905000,select category,borse
18709566,cfd6f72ced4de3ed18c731ff71b73375bb74c9656b11c22cf6a394098e1ed1a9,2021-08-31 22:24:13.392000,expand menu,borse
18709566,cfd6f72ced4de3ed18c731ff71b73375bb74c9656b11c22cf6a394098e1ed1a9,2021-08-31 22:24:11.704000,select universe,moda uomo
18709566,cfd6f72ced4de3ed18c731ff71b73375bb74c9656b11c22cf6a394098e1ed1a9,2021-08-31 22:24:09.366000,start deposit,
18709566,cfd6f72ced4de3ed18c731ff71b73375bb74c9656b11c22cf6a394098e1ed1a9,2021-08-31 22:24:09.200000,tap add deposit,
18709618,53f88c2456a8b7b8712dcfaef7f0ef24e62f5fe834d1971b2fc4a37b939ea6c8,2021-08-31 22:33:29.545000,delete draft,
18709618,53f88c2456a8b7b8712dcfaef7f0ef24e62f5fe834d1971b2fc4a37b939ea6c8,2021-08-31 22:33:26.032000,tap back button,
18709618,53f88c2456a8b7b8712dcfaef7f0ef24e62f5fe834d1971b2fc4a37b939ea6c8,2021-08-31 22:33:23.436000,tap draft deposit,
18709618,53f88c2456a8b7b8712dcfaef7f0ef24e62f5fe834d1971b2fc4a37b939ea6c8,2021-08-31 22:33:18.752000,dismiss photo dialog,foto principal (foto de la longitud total del cinturón)
18709618,53f88c2456a8b7b8712dcfaef7f0ef24e62f5fe834d1971b2fc4a37b939ea6c8,2021-08-31 22:33:17.627000,add photo,foto principal (foto de la longitud total del cinturón)
18709618,53f88c2456a8b7b8712dcfaef7f0ef24e62f5fe834d1971b2fc4a37b939ea6c8,2021-08-31 22:33:16.418000,start photos,
18709618,53f88c2456a8b7b8712dcfaef7f0ef24e62f5fe834d1971b2fc4a37b939ea6c8,2021-08-31 22:33:16.394000,select step,photos
18709618,53f88c2456a8b7b8712dcfaef7f0ef24e62f5fe834d1971b2fc4a37b939ea6c8,2021-08-31 22:33:15.238000,create draft,cinturones para hombre
18709618,53f88c2456a8b7b8712dcfaef7f0ef24e62f5fe834d1971b2fc4a37b939ea6c8,2021-08-31 22:33:11.950000,select brand from results,gucci
18709618,53f88c2456a8b7b8712dcfaef7f0ef24e62f5fe834d1971b2fc4a37b939ea6c8,2021-08-31 22:33:11.929000,type in search field,gucci
18709618,53f88c2456a8b7b8712dcfaef7f0ef24e62f5fe834d1971b2fc4a37b939ea6c8,2021-08-31 22:33:07.171000,tap search field,
18709618,53f88c2456a8b7b8712dcfaef7f0ef24e62f5fe834d1971b2fc4a37b939ea6c8,2021-08-31 22:33:03.345000,select category,cinturones
18709618,53f88c2456a8b7b8712dcfaef7f0ef24e62f5fe834d1971b2fc4a37b939ea6c8,2021-08-31 22:33:02.363000,expand menu,accesorios
18709618,53f88c2456a8b7b8712dcfaef7f0ef24e62f5fe834d1971b2fc4a37b939ea6c8,2021-08-31 22:33:00.472000,select universe,ropa de hombre
18709618,53f88c2456a8b7b8712dcfaef7f0ef24e62f5fe834d1971b2fc4a37b939ea6c8,2021-08-31 22:32:58.626000,start deposit,
18709618,53f88c2456a8b7b8712dcfaef7f0ef24e62f5fe834d1971b2fc4a37b939ea6c8,2021-08-31 22:32:58.601000,tap add deposit,
18709635,e1c68b709720dcd780d9d7d5ce37ab2b229efa21c54f1ed667fd9be7610bab82,2021-08-31 22:37:11.795000,tap back button,
18709635,e1c68b709720dcd780d9d7d5ce37ab2b229efa21c54f1ed667fd9be7610bab82,2021-08-31 22:37:08.438000,tap draft deposit,
18709635,e1c68b709720dcd780d9d7d5ce37ab2b229efa21c54f1ed667fd9be7610bab82,2021-08-31 22:36:52.181000,select field,sotto-categoria
18709635,e1c68b709720dcd780d9d7d5ce37ab2b229efa21c54f1ed667fd9be7610bab82,2021-08-31 22:36:50.280000,start information,
