ID_BRAND,BRAND
380,Day Birger & Mikkelsen
381,Gat Rimon
382,Miss Selfridge
384,FLUXA
385,JC De Caltelbajac Pour Lee Cooper
386,Jeremy Scott Pour Longchamp
388,VIVIEN LEE
389,Htc
390,VERY SISTERS
391,Comme Des Garcons
392,Zucca
393,NEW LOOK
394,MINIMAN
395,Lancaster
396,Zara
397,FRIIS & COMPAGNY
399,Velvetine
400,Chloë Sevigny Pour Opening Ceremony
401,LA REDOUTE CREATION
402,BEN SHERMAN
403,GSUS
404,Virginie Castaway
405,Georges Rech
406,Christian Lacroix
407,Les Néréides
408,Loft Designed by
409,JAIMIE MASCARO
410,Lucchese
412,MANGO SUIT
413,THE ESSENTIALS
414,Asos
415,Nat & Nin
416,by Zoe
418,MONTANA
419,Michel Vivien
420,Atelier Voisin
421,MOSQUITOS
423,Tardini
424,LA REDOUTE
425,Irié
426,Nine West
427,Dkny
428,Dinh Van
429,Persol
431,STRIIPE
432,Red Line
433,Loewe
434,Cartier
435,Servane Gaxotte
436,SOCO
437,AVANT-PREMIERE
438,ESSENTIEL
439,GALERIES LAFAYETTE
440,JONAK
441,KATHY VAN ZEELAND
442,BOCAGE
444,MAISON PERRIN
445,Yazbukey
446,MISERICORDIA
447,Marguerite De Valois
448,Balmain
449,GIAN FRANCO FERRE
450,Lila Conti
451,FLECHET PARIS
452,LA FEE MARABOUTEE
453,Avril Gau
454,CHATTAWAK
455,RAS
456,KOLETTE MANE
457,FREEMAN PORTER
458,Irene Van Ryb
459,JUST CAMPAGNE
460,L'ECLAIREUR
461,Tiffany & Co
462,Bowen
463,SHY
464,Sport Max
465,Rick Owens
467,DUPONT
468,TRUSSARDI JUNIOR
469,Poeme
470,SOUN
471,Jerome Dreyfuss
472,Ginette Ny
474,OXMO
476,Tatoosh
477,Pyrenex
478,Zapa
480,MUGLER MEN
482,Donna Karan
483,Missoni
484,SYLVIA RIELLE
485,KABUKI
486,FORNARINA
487,Reminiscence
488,JEEPNEY
489,Melissa
490,POCCI
491,Liu.Jo
492,Junya Watanabe
493,Parajumpers
494,Mes Demoiselles ...
495,Massimo Dutti
496,CATIMINI
498,Armani Jeans
500,Maloles
501,Luciano Padovan
502,KIKI DE MONTPARNASSE
503,ERIC LAVILLE
504,HELLO KITTY
505,VICTORIA COUTURE
506,OLIVIER STRELLI
507,JEFF
508,Emmanuelle Khanh
510,UPLA
511,VIRGINIE MONROE
513,PIERRE CARDIN VINTAGE
515,RIZ
516,OLDIES
518,Just Cavalli
519,S.T. Dupont
521,Appartement à Louer
522,RUTZOU
523,James Perse
524,LA BAGAGERIE
525,Gaspard Yurkievich
526,SUE
528,Nixon
529,Poggi
530,VERTBAUDET
531,Cerruti
533,BLANC BLEU
534,Great by Sandie
535,Undercover
537,KITSUNE
538,Saint James
539,PENELOPE CRUZ POUR MANGO
540,MORINE COMTE MARANT
541,Petite Mendigote
542,CESAIRE
543,Morganne Bello
544,VERO MODA
545,Poiray
546,Sonia Rykiel Pour H&M
549,3.1 Phillip Lim
550,LILITH
551,KULTE
552,Morabito
555,SERENA KAY
556,Alexis Mabille
557,Atsuro Tayama
558,GIAN BERTONE
559,TAMIKO
560,Pedro Garcia
561,Rock & Republic De Victoria Beckham
562,JONATHAN RICHARD
563,Napapijri
564,Scarlett Roos
565,MARGIT BRANDT
566,Roland Mouret
567,Unisa
568,LAMARTHE
569,Veronique Leroy
570,PATRICK GERARD
573,Vic Matié
574,S'NOB
576,New Balance
577,ODD MOLLY
578,N2
579,HIGH
580,Versace
581,Herve Leger
582,Carel
583,Lk Bennett
584,Sous Les Pavés
585,Minority
586,Puma
587,Lola Cruz
588,Ann Van Dervorst
589,April First
591,Bellerose
593,JOE BLACK
594,LEILA HAFZI
595,Eric Bompard
596,by Malene Birger
597,J. Fenestrier
598,La Petite Francaise
599,Yohji Yamamoto
600,PURA LOPEZ
601,FOSTER MAUGHAN
602,Cordelia De Castellane
604,HOLLY'S BABY
605,LE TEMPS DES CERISES
607,CARBONE
608,NATHALIE CHAIZE
609,Office London
610,PENNY PULL
611,Dr. Martens
612,Nina Ricci
613,Eres
614,ZHOR ET NEMA
615,Brontibay
616,Max Azria
617,Stephane Verdino
619,CUSTO
620,SPHERE ONE
621,TUFI DUEK
622,Ann Demeulemeester
623,BRAY STEVE ALAN
624,Ventcouvert
625,FILOFAX
626,Epice
627,Galliano
628,YIN
629,Steve Madden
630,Sigerson Morrison
631,NOA NOA
632,G-STAR RAW
633,Moon Boot
634,Kate And Jack
635,BETSEY JOHNSON
636,Kenneth Jay Lane
637,Ralph Lauren Denim & Supply
638,Adolfo Dominguez
639,Regina Rubens
640,Catherine Malandrino
641,CHINE
642,ATOS LOMBARDINI
643,Chantal Thomass
644,Finger In The Nose
645,PAULINE B
646,Flavio Castellani
647,JOVONNA LONDON
648,Chaumet
