id_customer,listings_count
70319e4f8b7855450fb927e77ad35cc3047e4b4a060396bad1691dee533d0981,59
8545318778c21433226c7d0237d23d7a8ff198a9b7feafa502af40c82db8f520,30
5a86d723a810d6fad64f17752446e527ce137bbff44b11a9db9cda12f21178fe,30
2e1d26714b627c4f24285c7a0dc50d99b7db9dc2690b68e20027953ecda3f162,23
6e5df77608c38ed424a89355d52d8462685bdd1dfad122152c4fdb9020951154,20
c99e6c8d731a383666f02c6ed129d0eaf45981941ea38d4d07145afddeb05a36,19
68d6864b558d13a8a29255efdbcfccc1248d2bda6ea085007d742730f70144b2,19
3d53e80c89663b76a99ede3e7478bb5e4d278b1e109426f3f755cf8b3c8ec5a9,18
830c929ed792a46d800435c2044d5d3d4919b5144e24d9e286c310290fc88a9a,17
8a82095090c0a5da15e0d98e2d31074ae44d90206ef7139f38007ce7ecc10725,17
b55f39c46eb0d299d7806559c6c8001dcd8d29a8561411da2b17911e5c7f9725,17
8d1602ceefeb0bacb06a195a0e959309c7d19757451bdb344b24aa154e31f53f,17
dae647b420e73246c316439e7bf72bf435a3f4144752e921cc292c42baecacc7,15
e74b0dee51bd52dd1536c24ba6a7847ed8ad1386e2b02595cf23d4baf5e7176e,15
1d4302b77ca9fa16e7ae78a23340d3909127dabcc58ed0363682de4b0a912282,14
4b10a77f12938cb672cfa350b16a8c6ce2d6181dc405c4fe3f70033a932ec740,14
2b22ae43a6cb533247b7afdfacb1cd78f3898da1f6821abb1e55df242e8ce52e,14
7bf677f6fb2f98fbd942322e3ad611c878fb8453f8c143d26c1c0f2e1c7a6e2e,14
bf423227dc5c4426a00ae3d1029133daea275048074bae57fb61bd1c3d418e4f,13
ed98d414c757877d138cefb74c8fe5760065f0e5ce5e06d3b423b9e2d70d7e97,13
